plot_code,petak_id_client,petak_desc_code,variant,obs_date,age_at_obs,planted_date,plot_code_consol,split
4,EPEL MAR 2018: 1,FIEP48,Epel,2018-03-15,48,2014-03-15,4,0
5,EPEL MAR 2018: 2,FIEP48,Epel,2018-03-15,48,2014-03-15,5,0
6,EPEL MAR 2018: 3,FIEP48,Epel,2018-03-15,48,2014-03-15,6,0
7,EPEL MAR 2018: 4,FIEP36,Epel,2018-03-15,36,2015-03-15,7,0
8,EPEL MAR 2018: 5,FIEP12,Epel,2018-03-15,12,2017-03-15,8,0
9,EPEL MAR 2018: 6,FIEP36,Epel,2018-03-15,36,2015-03-15,9,0
10,EPEL MAR 2018: 7,FIEP12,Epel,2018-03-15,12,2017-03-15,10,0
11,EPEL MAR 2018: 8,FIEP6,Epel,2018-03-15,6,2017-09-15,11,0
12,EPEL MAR 2018: 9,FIEP12,Epel,2018-03-15,12,2017-03-15,12,0
13,EPEL MAR 2018: 10,FIEP12,Epel,2018-03-15,12,2017-03-15,13,0
14,EPEL MAR 2018: 11,FIEP12,Epel,2018-03-15,12,2017-03-15,14,0
15,EPEL MAR 2018: 12,FIEP6,Epel,2018-03-15,6,2017-09-15,15,0
16,EPEL MAR 2018: 13,FIEP6,Epel,2018-03-15,6,2017-09-15,16,0
17,EPEL MAR 2018: 14,FIEP6,Epel,2018-03-15,6,2017-09-15,17,0
18,EPEL MAR 2018: 15,FIEP48,Epel,2018-03-15,48,2014-03-15,18,0
19,EPEL MAR 2018: 16,FIEP48,Epel,2018-03-15,48,2014-03-15,19,0
20,EPEL MAR 2018: 17,FIEP48,Epel,2018-03-15,48,2014-03-15,20,0
21,EPEL MAR 2018: 18,FIEP48,Epel,2018-03-15,48,2014-03-15,21,0
22,EPEL MAR 2018: 19,FIEP48,Epel,2018-03-15,48,2014-03-15,22,0
23,EPEL MAR 2018: 20,FIEP36,Epel,2018-03-15,36,2015-03-15,23,0
24,EPEL MAR 2018: 21,FIEP36,Epel,2018-03-15,36,2015-03-15,24,0
25,EPEL MAR 2018: 22,FIEP36,Epel,2018-03-15,36,2015-03-15,25,0
26,EPEL MAR 2018: 23,FIEP36,Epel,2018-03-15,36,2015-03-15,26,0
27,EPEL MAR 2018: 24,FIEP36,Epel,2018-03-15,36,2015-03-15,27,0
28,EPEL MAR 2018: 25,FIEP2,Epel,2018-03-15,2,2018-01-15,28,0
29,EPEL MAR 2018: 26,FIEP6,Epel,2018-03-15,6,2017-09-15,29,0
